train_years,volume,omega,dev_none,dev_full,dev_partial,gain_vs_none_pct,gain_vs_full_pct
1,50,0.05,0.6265812440624665,0.6069009080121378,0.6071958371849454,3.093837720362484,-0.04859593533541103
1,50,0.1,0.6641289731472722,0.6134614564207739,0.6130900348845408,7.685094360642101,0.06054521149545252
1,50,0.15,0.6667410104918459,0.6069212184303839,0.6039634539611743,9.415583493860886,0.4873391108089683
1,50,0.2,0.6812479688421742,0.6156377090503742,0.6104323031376258,10.394991096253005,0.8455307133115362
1,50,0.3,0.6616206910639352,0.6509912957866705,0.6286467535413053,4.983812926044582,3.432387251562806
1,50,0.4,0.6408679057155368,0.682648889586692,0.6446599595170709,-0.5917059924073215,5.5649295925203095
1,100,0.05,0.8643461873802475,0.8418278155864384,0.8426637245679202,2.5085391859070785,-0.09929690680266556
1,100,0.1,0.8712813835611068,0.8384398651901723,0.838282549272516,3.787391181677474,0.018762933895163623
1,100,0.15,0.8466499330103265,0.8424130173303962,0.8353503221284734,1.3346260882200225,0.838388659318736
1,100,0.2,0.8524246053641971,0.8591586278058935,0.8447904147142439,0.8955854396872427,1.6723585874174278
1,100,0.3,0.8488602700337986,0.8990404962237587,0.8464693697778933,0.28166004939895156,5.84747034940917
1,100,0.4,0.9330250967161507,0.9676357516088872,0.875013558194006,6.217575360654349,9.572010259116444
1,200,0.05,1.0719439282722478,1.0554127862381224,1.0551366877584563,1.5679216114299341,0.026160236380142657
1,200,0.1,1.0757270281017952,1.0712312514409124,1.0651457329393887,0.9836412850087065,0.5680863486140818
1,200,0.15,1.0597626326450096,1.0678907108301,1.0498559795871574,0.9347992420837373,1.6888180653733422
1,200,0.2,1.0642095940443066,1.096200043390882,1.0606673116059395,0.33285571359165883,3.2414459385559713
1,200,0.3,1.0516489999097283,1.1607867422368277,1.0562736628790075,-0.43975346999580534,9.003641715998945
1,200,0.4,1.0205307120600542,1.2413353310850461,1.06538711846189,-4.395399949432989,14.174108173442592
1,400,0.05,1.1785438626001132,1.169132981858084,1.166265485586503,1.041826053594788,0.24526690428524656
1,400,0.1,1.1632718926284704,1.1661992547014823,1.148605357779574,1.2608002429901912,1.5086527324536718
1,400,0.15,1.1647012140878732,1.2144619705203534,1.16106572552374,0.3121391581084862,4.396699632655856
1,400,0.2,1.1679995451870844,1.2588270345273431,1.1733326309934484,-0.456599989986282,6.791592584917407
1,400,0.3,1.1447624121279378,1.4296711973427363,1.1863574837642206,-3.633511302923012,17.018858184367964
1,400,0.4,1.1354090211645762,1.6036728345741917,1.2451998383068672,-9.669715062654673,22.35324989853722
1,800,0.05,1.1498633190793845,1.1457401727306973,1.1394152898307603,0.9086322761377597,0.5520346628732183
1,800,0.1,1.1446427386533307,1.1702465392777064,1.1404871113423052,0.3630501614778567,2.543004993953596
1,800,0.15,1.143694988887846,1.266746563350563,1.147509508971095,-0.33352599428263807,9.412857933009452
1,800,0.2,1.1500752442123754,1.3360794414686532,1.16302180745473,-1.1257144528157428,12.95264552710232
1,800,0.3,1.1454048271589794,1.5922980269564917,1.1989074352456006,-4.671065357680319,24.705839299620017
1,800,0.4,1.123286089344579,2.1866916031225982,1.294357442717461,-15.22954436947576,40.80749928937775
3,50,0.05,0.6037401639868907,0.5974246605227016,0.5976668467368597,1.0059488522222768,-0.04053836913028716
3,50,0.1,0.6120695865176423,0.6102776514271769,0.6086063488549336,0.5658241708124644,0.2738593766845126
3,50,0.15,0.6105810898177284,0.6104803059535887,0.6064020138119813,0.6844424230358358,0.668046471251347
3,50,0.2,0.6060848557728401,0.6176854045098945,0.604848398913488,0.20400721905111657,2.0782433100539475
3,50,0.3,0.5991393137943752,0.6264036047862501,0.6020950728940383,-0.49333419316854826,3.8806500643473645
3,50,0.4,0.6126108554780321,0.6575970854368978,0.6178752206114656,-0.8593326556914583,6.040456337947657
3,100,0.05,0.832893936834074,0.8283686329864872,0.8278392753132381,0.6068793753078864,0.06390363567252146
3,100,0.1,0.8321344500655027,0.8344823843869444,0.8305065260294389,0.19563233272407807,0.47644604989792066
3,100,0.15,0.8257405615218989,0.8396313062922739,0.8243653337085676,0.1665447814258612,1.8181757241900969
3,100,0.2,0.8322971082786128,0.856526970521032,0.8327823763682887,-0.05830467087402359,2.77219456829238
3,100,0.3,0.8373562913796725,0.9056118117505291,0.84201249148045,-0.5560596067303316,7.022801540887911
3,100,0.4,0.8351004507888966,0.9698685996258088,0.877695409413816,-5.100579048266715,9.503678152644058
3,200,0.05,1.0593074795101365,1.0580775936947469,1.0559343211997065,0.31843051953053536,0.20256288459489347
3,200,0.1,1.0486764329680807,1.0539550142343888,1.046125306935743,0.24327103691242175,0.7428881871522167
3,200,0.15,1.05743389789272,1.074020567259676,1.056381360767284,0.09953691928483482,1.6423527658690764
3,200,0.2,1.0435075170820418,1.0904628394873932,1.0439416316183194,-0.04160147667086602,4.266189198243797
3,200,0.3,1.0207624938837143,1.145547046551844,1.0329345336008429,-1.1924458226141674,9.830457272791254
3,200,0.4,1.0061185229672014,1.2354696463052646,1.0435357380925236,-3.7189669279691837,15.535299372730778
3,400,0.05,1.162914280101324,1.1658469451129432,1.1609715873153283,0.16705382496690166,0.41818163336547787
3,400,0.1,1.1511735621910901,1.1768265188297249,1.1502532823990532,0.07994274905734342,2.2580419463267165
3,400,0.15,1.1645041273660701,1.22798927273347,1.167818265967974,-0.2845965526459614,4.899961921618187
3,400,0.2,1.1515180046255766,1.2511817963396135,1.164884477443363,-1.1607697633987635,6.897264582070879
3,400,0.3,1.132974791896068,1.3537574841196864,1.1617172155643565,-2.5368987795560014,14.18572165310752
3,400,0.4,1.1247548546495665,1.6774207495096285,1.2595460190576793,-11.984048244015707,24.911742064363356
3,800,0.05,1.116202665108697,1.121309255200544,1.113963206028809,0.20063194166176834,0.6551314133602826
3,800,0.1,1.1394645527420126,1.1932233302239332,1.1413040992230703,-0.16143955304541685,4.3511746448269
3,800,0.15,1.1081799957779792,1.219251525803704,1.1159165768091723,-0.6981339728806227,8.475277398272315
3,800,0.2,1.126348791452159,1.34210042920872,1.1428108135816817,-1.4615385797412515,14.849083666900855
3,800,0.3,1.1120701504991355,1.7416738491376118,1.1911431382300346,-7.11043163018164,31.609288454332134
3,800,0.4,1.1095121267433141,2.068964498985312,1.2931736679127188,-16.553360413328303,37.49657528938106
